Metadata,,,,,,,,
№,Автор,Файл_№,Файл (путь от рабочей папки),Начало (сек),Конец (сек),Текст,Code,Носитель
2656,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_031,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/031_А_гиянме_н_Ха_ль_сн_.wav,118.250,122.990,"А̄гиянме̄н Ха̄ль­ӯсн во̄вавеме̄н, тувыл ме̄н тыт о̄луӈкве ханьщув­ласме̄н.",4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2657,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_032,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/032_Мо_т_ма_н_ва_нт_лу_к.wav,123.110,125.840,Мо̄т ма̄н ва̄нт­луӈкве ат ка̄са­щи­ме̄н. ,4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2658,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_033,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/033_Омагем_а_тягем_урыл_.wav,126.060,127.990,Омагем-а̄тягем урыл.,4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2659,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_034,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/034_Ам_омам_Тутлейм_па_в.wav,128.070,130.320,Ам омам Тутлейм па̄­вылныл о̄лыс.,4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2660,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_035,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/035_Увщиягум_Пугоры_па_в.wav,130.410,133.360,Увщиягум Пугоры па̄выл ма̄т са­мын патсы̄г.,4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2661,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_036,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/036_Тувыл_ома_гум_а_тягу.wav,133.490,138.060,"Тувыл ома­гум-а̄тягум Шайтанкан ва̄нт­ласы̄г, ам тыт самын патсум. ",4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2662,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_037,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/037_Ще_мьят_ма_н_нила_ня.wav,138.170,142.150,"Ще̄мьят ма̄н нила ня̄врам о̄лсӯв: хӯрум а̄ги, акв пыг.",4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2663,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_038,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/038_Ка_кум_ма_ниг_а_тимы.wav,142.370,146.220,"Каӈкум ма̄ниг а̄тимыг е̄мтыс, тувыл а̄тяв хотталь щалтыс. ",4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2664,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_039,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/039_Ма_н_х_рум_а_ги_омав.wav,146.310,151.110,Ма̄н хӯ­рум а̄ги омав ёт хультсӯв. Тав совхозт сторожиг рӯпитас. ,4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2665,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_040,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/040_Па_вылт_хум_та_л_о_л.wav,152.030,157.980,"Па̄вылт хум та̄л о̄луӈ­кве сака та̄рвитыӈ о̄лыс, омав такви ӯльюв сартыс, такви вит а̄лумтас.",4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2666,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_041,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/041_Х_л_о_с_такви_алыщла.wav,158.280,163.720,"Хӯл о̄с такви алыщлас. Мощ яныгмасӯв, колсо̄ри рӯ­пата ва̄руӈкве таве̄н нё̄т­сӯв.",4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2667,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_042,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/042_Омав_ат_потыртас_суп.wav,163.910,166.640,"Омав ат потыртас, супне̄лм та̄л о̄лыс.",4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2668,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_043,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/043_Ма_ниг_о_лме_порат_с.wav,166.770,171.260,"Ма̄ниг о̄лме порат сака хот-рох­туптавес, ты юи-па̄лт воссыг щар потыртас.",4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2669,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_044,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/044_Ма_н_таве_тай_мащакв.wav,171.770,174.560,Ма̄н таве тай ёмащакве тор­гамтаслӯв.,4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2670,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_045,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/045_Ханищтахту_кве_акваг.wav,174.770,177.320,Ханищтахтуӈкве акваг ка̄сащасӯв.,4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2671,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_046,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/046_Янгыг_хунь_е_мтс_в_э.wav,177.610,180.980,"Янгыг хунь е̄мтсӯв, э̄лаль ханищтахтуӈкве минасӯв.",4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2672,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_047,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/047_Светлана_яныг_увщим_.wav,181.130,184.310,Светлана яныг увщим учитель-хо̄тпаг ханищтахтас.,4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2673,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_048,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/048_Шайтанка_па_выл_школ.wav,184.480,187.020,Шайтанка па̄выл школат рӯпитас.,4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2674,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_049,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/049__тыл_Ха_ль_сн_ва_нтл.wav,187.250,190.550,"Ётыл Ха̄льӯсн ва̄нтлас, тот о̄с ня̄врамыт ханищтас.",4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2675,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_050,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/050_Тав_а_тимыг_е_мтыс_Р.wav,191.280,197.680,Тав а̄тимыг е̄мтыс. Рая увщим фельдшер-ле̄кка­рыг ханищтахтас ос юв рӯпитаӈкве ёхтыс.,4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2676,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_051,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/051_Тав_Шайтанкат_о_лнэ_.wav,197.950,200.850,Тав Шайтанкат о̄лнэ мир са̄в та̄л пусмалтас.,4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2677,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_052,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/052_Юи_о_выл_та_лытт_пен.wav,200.960,205.510,Юи-о̄выл та̄лытт пенсиян патхатас. Раям о̄с тыт ань о̄лы.,4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2678,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_053,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/053_Ам_лов_класс_а_стлас.wav,206.150,211.360,"Ам лов класс а̄стласум, Тюмень ӯст колыт ӯнт­тын хо̄тпаг акв та̄л ханищ­тах­тасум.",4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2679,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_054,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/054_Ос_акв_та_л_тот_ру_п.wav,211.430,213.400,Ос акв та̄л тот рӯпитасум.,4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2680,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_055,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/055_Та_порат_са_в_ма_ньл.wav,213.740,218.030,"Та порат са̄в ма̄ньлат а̄гит, пыгыт стро­итель-хо̄тпаг ханищтах­тасыт.",4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2681,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_056,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/056_Тот_р_питым_о_лнэ_ко.wav,218.170,221.240,Тот рӯпитым о̄лнэ колыл са̄ртынув май­ве̄сыт.,4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2682,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_057,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/057_Тувыл_яныг_ст_о_лу_к.wav,221.810,225.990,"Тувыл яныг ӯст о̄луӈкве хоса ат ве̄ритасум, юв акваг воратасум.",4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2683,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_058,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/058_Яныг_мам_па_вылн_мин.wav,226.180,230.730,"Яныг­мам па̄вылн минасум, совхозн мис поснэ хо̄тпаг патха­тасум.",4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2684,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_059,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/059_Совхоз_хунь_ла_к_ква.wav,231.040,234.830,"Совхоз хунь ла̄к­ква-патыс, школат рӯпи­таӈкве патсум.",4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2685,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_060,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/060_Налыман_нупыл_нила_т.wav,235.200,241.810,"Налыман нупыл нила та̄л сыс ам тэ̄нут па̄йтнэ хо̄тпаг, ня̄врам ӯргалан нэ̄г, завхозыг тыт о̄лсум. ",4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2686,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_061,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/061_Ань_тэ_нут_па_йтнэ_х.wav,241.830,244.390,Ань тэ̄нут па̄йтнэ хо̄тпаг рӯпитэ̄гум. ,4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2687,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_062,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/062_Надежда_Кузьминична_.wav,244.480,249.900,"Надежда Кузьминична ла̄выс, тав яныгмаме порат Шайтанка па̄вылт са̄всыр мир о̄лыс.",4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2688,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_063,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/063_Та_нки_хала_нылт_та_.wav,249.940,252.830,Та̄нки хала­нылт та̄н рущ ла̄тӈыл потыр­тасыт.,4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2689,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_064,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/064_Ос_советский_власть_.wav,252.880,259.980,"Ос советский власть о̄лум порат ща̄нь ла̄тӈыл по­тыртаӈкве, пе̄с йис ва̄р­малит э̄лаль тотуӈкве ма̄хум ат та̄рт­ве̄сыт.",4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2690,Сатина Мария,mns_4852643b-549d-4b41-9b8f-b624aac64f1b_065,Сатина Мария/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/065_Ханты_нэ_ща_нь_ла_т_.wav,260.030,262.370,Ханты нэ̄ ща̄нь ла̄тӈе о̄с ат ва̄гтэ. ,4852643b-549d-4b41-9b8f-b624aac64f1b,ЛТ
2691,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_001,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/001_Та_пора_э_ква_мащакв.wav,0.000,2.200,Та пора э̄ква ёмащакве номитэ.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2692,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_002,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/002_Ты_потыр_кит_со_тыр_.wav,2.580,9.420,Ты потыр кит со̄тыр онтолов та̄лт Победа хо̄тал кастыл лӯима сэ̄рипос ма̄ньщи газетат хансыгласлӯв.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2693,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_003,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/003_Та_ту_я_порат_ам_Лу_.wav,9.670,14.290,Та тӯя порат ам Лӯи Ня̄рихумит па̄вылн рӯпатам щирыл ялсум.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2694,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_004,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/004_То_нт_хансум_потрум_.wav,14.590,17.520,То̄нт хансум потрум ань э̄лаль ловиньтэлы̄н.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2695,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_005,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/005_Октябрьский_районт_Н.wav,17.820,23.320,Октябрьский районт Ня̄рихуми па̄вылт ам ма̄ньщи э̄ква Зоя Николаевна Енизорова.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2696,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_006,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/006_Такви_о_парищ_наме_Я.wav,23.420,27.000,"Такви о̄парищ наме Ярлина, ёт хо̄нтхатыгласум.",440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2697,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_007,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/007_Тав_Йильпи_па_вылт_с.wav,27.080,31.600,Тав Йильпи па̄вылт самын патыс. Пе̄с порат Ярлиныт пуссын та па̄вылт о̄лсыт.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2698,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_008,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/008_Яныг_хо_нтлан_нак_о_.wav,32.140,36.450,Яныг хо̄нтлан нак о̄вылтахтам порат тав туп онтолов та̄лэ то̄влыс.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2699,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_009,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/009_Та_та_р_виты_пора_та.wav,36.660,39.330,Та та̄р­витыӈ пора тав ёмащакве номитэ.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2700,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_010,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/010_Ос_ты_урыл_мощ_потыр.wav,39.680,41.550,Ос ты урыл мощ потыртас.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2701,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_011,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/011_Хо_нт_о_вылтахтам_по.wav,41.900,46.730,Хо̄нт о̄вылтахтам порат па̄влувт пуссын хум хо̄тпат войнан хо̄нт­лаӈкве тотве̄сыт.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2702,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_012,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/012_А_щув_Ярлин_Николай_.wav,46.820,50.670,А̄щув Ярлин Николай Андрее­вич о̄с хо̄нтлаӈкве минас.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2703,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_013,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/013_Ща_нюв_такке_т_ня_вр.wav,51.060,53.450,Ща̄нюв такке̄т ня̄враманэ ёт хультыс.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2704,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_014,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/014_Тав_сака_са_в_ру_пит.wav,53.760,59.010,"Тав сака са̄в рӯпитас, ам таве̄н нё̄тсум, ма̄нь ягпыгум, э̄щум ёт юн о̄лсум.",440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2705,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_015,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/015_То_нт_тэ_та_л_порат_.wav,59.090,63.010,То̄нт тэ̄та̄л порат талон щирыл ма̄нь ня̄нь-ло̄мтыл майвесӯв.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2706,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_016,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/016_Ам_тай_мощ_яныгнув_н.wav,63.260,68.670,"Ам тай мощ яныгнув, номт о̄щсум, суссум, хумус ща̄нюм рӯпиты ос ва̄гтал паты.",440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2707,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_017,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/017_Ам_амки_ня_нь_ло_мту.wav,68.980,71.790,Ам амки ня̄нь-ло̄мтум таве̄н хультупта̄слум.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2708,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_018,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/018_Ма_н_туп_акв_мис_о_щ.wav,72.180,73.830,Ма̄н туп акв мис о̄щсӯв.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2709,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_019,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/019_Мис_посу_кве_минэ_гу.wav,73.890,77.330,"Мис посуӈкве минэ̄гум, ягпыгум ос э̄щум ёт выгагум.",440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2710,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_020,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/020_О_влэ_т_мисум_аквпал.wav,77.650,80.340,О̄влэ̄т мисум аквпал щакваге посыягум.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2711,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_021,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/021_Мо_т_по_хе_н_минэ_гу.wav,80.620,83.300,"Мо̄т по̄хе̄н минэ̄гум, мо̄т щакваге посыягум.",440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2712,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_022,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/022_Тэ_натэ_н_йильпи_щак.wav,83.840,88.030,"Тэ̄натэ̄н йильпи щаквитыл айтыягум, та ре̄гыл та о̄лсӯв.",440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2713,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_023,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/023_А_щум_ягпыге_ма_навн.wav,88.130,91.030,А̄щум ягпыге ма̄навн пум ва̄руӈкве нё̄тыс. ,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2714,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_024,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/024_Ань_тай_ат_номилум_м.wav,91.490,94.530,"Ань тай ат номилум, манса̄вит та̄л а̄щув хо̄нтлас.",440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2715,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_025,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/025_Пищмал_ке_твес_в_рущ.wav,94.870,97.990,"Пищмал ке̄твесӯв, рущ ла̄тӈыл похорон­каг ла̄ввес. ",440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2716,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_026,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/026_Тот_хансым_о_лыс_а_щ.wav,98.420,101.250,"Тот хансым о̄лыс,а̄щуы хо̄нтыт порславес.",440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2717,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_027,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/027_Ща_нюм_маткем_та_лю_.wav,101.590,104.790,"Ща̄нюм маткем та лю̄ньщис, тувыл ос э̄лаль о̄луӈкве э̄ри.",440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2718,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_028,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/028_Ня_врамыт_янмалта_кв.wav,104.980,106.570,Ня̄врамыт янмалтаӈкве.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2719,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_029,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/029_Матахкем_пора_ювле_х.wav,106.750,111.110,"Матахкем пора ювле хультыс, ос мо̄т пищмал ке̄твесӯв, тот хансым о̄лыс.",440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2720,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_030,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/030_А_щув_лылы_э_лаль_хо.wav,111.560,113.540,"А̄щув лылыӈ, э̄лаль хо̄нтлы.",440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2721,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_031,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/031_Тав_со_тыра_онтолов_.wav,113.710,117.530,Тав со̄тыра онтолов са̄т атпа нупыл о̄выл та̄лт войнан тотвес.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2722,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_032,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/032_Со_тыра_онтолов_са_т.wav,117.980,122.290,Со̄тыра онтолов са̄т атпа нупыл а̄тыт та̄лыт юв ёхтыс.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2723,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_033,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/033_Хо_нтлуме_ма_г_сыл_с.wav,122.440,124.840,Хо̄нтлуме ма̄г­сыл са̄в ме̄талил майвес. ,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2724,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_034,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/034_Юв_хтын_э_лы_па_лт_т.wav,125.130,127.730,Юв ёхтын э̄лы-па̄лт тав телеграмма ке̄тыс.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2725,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_035,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/035_Тав_юв_хтум_хо_тал_а.wav,127.990,130.700,Тав юв ёхтум хо̄тал ам ёмащакве номилум.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2726,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_036,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/036_Ма_н_па_влувт_акв_у_.wav,130.850,133.000,Ма̄н па̄влувт акв ӯсхулы о̄лыс.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2727,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_037,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/037_Па_выл_хосыт_ме_гум_.wav,133.320,137.770,"Па̄выл хосыт ё̄ме̄гум, сунсэ̄гум, та лё̄ӈх хосыт кит хо̄т­паг ё̄ме̄г.",440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2728,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_038,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/038_Мощ_ляпаннув_хтысыг_.wav,137.920,144.140,"Мощ ляпаннув ёхтысыг, насати, ща̄ня­гум-а̄щагум ё̄ме̄г, таса̄вит тай ща̄гт о̄лыс, маткем та лю̄щсум. ",440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2729,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_039,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/039_Ты_юи_па_лт_а_ке_пал.wav,144.230,146.240,Ты юи-па̄лт а̄ӈке палт минасӯв.,440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
2730,Сатина Мария,mns_440666bf-3a02-40d8-818c-99f6e67f3573_040,Сатина Мария/mns_440666bf-3a02-40d8-818c-99f6e67f3573/040_Ма_лтып_хо_тал_о_лыс.wav,146.410,150.500,"Ма̄лтып хо̄тал о̄лыс, ма̄хум тэ̄пкант картопка ӯнттысыт.",440666bf-3a02-40d8-818c-99f6e67f3573,ЛТ
